date,county,fips,confirmed_cases,deaths,new_confirmed_cases,new_deaths
2020-01-26,Los Angeles,37,1,0,0.0,0.0
2020-01-27,Los Angeles,37,1,0,0.0,0.0
2020-01-28,Los Angeles,37,1,0,0.0,0.0
2020-01-29,Los Angeles,37,1,0,0.0,0.0
2020-01-30,Los Angeles,37,1,0,0.0,0.0
2020-01-31,Los Angeles,37,1,0,0.0,0.0
2020-02-01,Los Angeles,37,1,0,0.0,0.0
2020-02-02,Los Angeles,37,1,0,0.0,0.0
2020-02-03,Los Angeles,37,1,0,0.0,0.0
2020-02-04,Los Angeles,37,1,0,0.0,0.0
2020-02-05,Los Angeles,37,1,0,0.0,0.0
2020-02-06,Los Angeles,37,1,0,0.0,0.0
2020-02-07,Los Angeles,37,1,0,0.0,0.0
2020-02-08,Los Angeles,37,1,0,0.0,0.0
2020-02-09,Los Angeles,37,1,0,0.0,0.0
2020-02-10,Los Angeles,37,1,0,0.0,0.0
2020-02-11,Los Angeles,37,1,0,0.0,0.0
2020-02-12,Los Angeles,37,1,0,0.0,0.0
2020-02-13,Los Angeles,37,1,0,0.0,0.0
2020-02-14,Los Angeles,37,1,0,0.0,0.0
2020-02-15,Los Angeles,37,1,0,0.0,0.0
2020-02-16,Los Angeles,37,1,0,0.0,0.0
2020-02-17,Los Angeles,37,1,0,0.0,0.0
2020-02-18,Los Angeles,37,1,0,0.0,0.0
2020-02-19,Los Angeles,37,1,0,0.0,0.0
2020-02-20,Los Angeles,37,1,0,0.0,0.0
2020-02-21,Los Angeles,37,1,0,0.0,0.0
2020-02-22,Los Angeles,37,1,0,0.0,0.0
2020-02-23,Los Angeles,37,1,0,0.0,0.0
2020-02-24,Los Angeles,37,1,0,0.0,0.0
2020-02-25,Los Angeles,37,1,0,0.0,0.0
2020-02-26,Los Angeles,37,1,0,0.0,0.0
2020-02-27,Los Angeles,37,1,0,0.0,0.0
2020-02-28,Los Angeles,37,1,0,0.0,0.0
2020-02-29,Los Angeles,37,1,0,0.0,0.0
2020-03-01,Los Angeles,37,1,0,0.0,0.0
2020-03-02,Los Angeles,37,1,0,0.0,0.0
2020-03-03,Los Angeles,37,1,0,0.0,0.0
2020-03-04,Los Angeles,37,7,0,6.0,0.0
2020-03-05,Los Angeles,37,11,0,4.0,0.0
2020-03-06,Los Angeles,37,13,0,2.0,0.0
2020-03-07,Los Angeles,37,14,0,1.0,0.0
2020-03-08,Los Angeles,37,14,0,0.0,0.0
2020-03-09,Los Angeles,37,19,0,5.0,0.0
2020-03-10,Los Angeles,37,20,0,1.0,0.0
2020-03-11,Los Angeles,37,29,1,9.0,1.0
2020-03-12,Los Angeles,37,32,1,3.0,0.0
2020-03-13,Los Angeles,37,40,1,8.0,0.0
2020-03-14,Los Angeles,37,54,1,14.0,0.0
2020-03-15,Los Angeles,37,69,1,15.0,0.0
2020-03-16,Los Angeles,37,94,1,25.0,0.0
2020-03-17,Los Angeles,37,147,1,53.0,0.0
2020-03-18,Los Angeles,37,192,1,45.0,0.0
2020-03-19,Los Angeles,37,231,2,39.0,1.0
2020-03-20,Los Angeles,37,295,2,64.0,0.0
2020-03-21,Los Angeles,37,353,4,58.0,2.0
2020-03-22,Los Angeles,37,411,5,58.0,1.0
2020-03-23,Los Angeles,37,543,8,132.0,3.0
2020-03-24,Los Angeles,37,670,10,127.0,2.0
2020-03-25,Los Angeles,37,814,13,144.0,3.0
2020-03-26,Los Angeles,37,1230,21,416.0,8.0
2020-03-27,Los Angeles,37,1482,26,252.0,5.0
2020-03-28,Los Angeles,37,1818,32,336.0,6.0
2020-03-29,Los Angeles,37,2147,37,329.0,5.0
2020-03-30,Los Angeles,37,2505,44,358.0,7.0
2020-03-31,Los Angeles,37,3037,54,532.0,10.0
2020-04-01,Los Angeles,37,3528,66,491.0,12.0
2020-04-02,Los Angeles,37,4071,80,543.0,14.0
2020-04-03,Los Angeles,37,4605,93,534.0,13.0
2020-04-04,Los Angeles,37,5325,119,720.0,26.0
2020-04-05,Los Angeles,37,5955,132,630.0,13.0
2020-04-06,Los Angeles,37,6391,147,436.0,15.0
2020-04-07,Los Angeles,37,6944,173,553.0,26.0
2020-04-08,Los Angeles,37,7573,200,629.0,27.0
2020-04-09,Los Angeles,37,7984,225,411.0,25.0
2020-04-10,Los Angeles,37,8453,244,469.0,19.0
2020-04-11,Los Angeles,37,8889,267,436.0,23.0
2020-04-12,Los Angeles,37,9197,300,308.0,33.0
2020-04-13,Los Angeles,37,9480,326,283.0,26.0
2020-04-14,Los Angeles,37,10075,366,595.0,40.0
2020-04-15,Los Angeles,37,10517,405,442.0,39.0
2020-04-16,Los Angeles,37,10895,457,378.0,52.0
2020-04-17,Los Angeles,37,11421,501,526.0,44.0
2020-04-18,Los Angeles,37,12051,577,630.0,76.0
2020-04-19,Los Angeles,37,12349,601,298.0,24.0
2020-04-20,Los Angeles,37,13823,619,1474.0,18.0
2020-04-21,Los Angeles,37,15165,666,1342.0,47.0
2020-04-22,Los Angeles,37,16449,732,1284.0,66.0
2020-04-23,Los Angeles,37,17567,798,1118.0,66.0
2020-04-24,Los Angeles,37,18545,850,978.0,52.0
2020-04-25,Los Angeles,37,19159,896,614.0,46.0
2020-04-26,Los Angeles,37,19567,916,408.0,20.0
2020-04-27,Los Angeles,37,20460,948,893.0,32.0
2020-04-28,Los Angeles,37,21017,1004,557.0,56.0
2020-04-29,Los Angeles,37,22522,1065,1505.0,61.0
2020-04-30,Los Angeles,37,23233,1119,711.0,54.0
2020-05-01,Los Angeles,37,24262,1174,1029.0,55.0
2020-05-02,Los Angeles,37,24936,1212,674.0,38.0
2020-05-03,Los Angeles,37,25699,1231,763.0,19.0
2020-05-04,Los Angeles,37,26238,1260,539.0,29.0
2020-05-05,Los Angeles,37,27866,1315,1628.0,55.0
2020-05-06,Los Angeles,37,28665,1369,799.0,54.0
2020-05-07,Los Angeles,37,29526,1420,861.0,51.0
2020-05-08,Los Angeles,37,30334,1470,808.0,50.0
2020-05-09,Los Angeles,37,31241,1515,907.0,45.0
2020-05-10,Los Angeles,37,31703,1531,462.0,16.0
2020-05-11,Los Angeles,37,32269,1570,566.0,39.0
2020-05-12,Los Angeles,37,33247,1617,978.0,47.0
2020-05-13,Los Angeles,37,34552,1663,1305.0,46.0
2020-05-14,Los Angeles,37,35447,1711,895.0,48.0
2020-05-15,Los Angeles,37,36324,1752,877.0,41.0
2020-05-16,Los Angeles,37,37374,1793,1050.0,41.0
2020-05-17,Los Angeles,37,38011,1821,637.0,28.0
2020-05-18,Los Angeles,37,38466,1842,455.0,21.0
2020-05-19,Los Angeles,37,39632,1926,1166.0,84.0
2020-05-20,Los Angeles,37,40975,1976,1343.0,50.0
2020-05-21,Los Angeles,37,42138,2021,1163.0,45.0
2020-05-22,Los Angeles,37,43085,2051,947.0,30.0
2020-05-23,Los Angeles,37,44121,2092,1036.0,41.0
2020-05-24,Los Angeles,37,45034,2108,913.0,16.0
2020-05-25,Los Angeles,37,46023,2116,989.0,8.0
2020-05-26,Los Angeles,37,47875,2145,1852.0,29.0
2020-05-27,Los Angeles,37,48778,2201,903.0,56.0
2020-05-28,Los Angeles,37,49860,2241,1082.0,40.0
2020-05-29,Los Angeles,37,51685,2294,1825.0,53.0
2020-05-30,Los Angeles,37,53746,2339,2061.0,45.0
2020-05-31,Los Angeles,37,55001,2362,1255.0,23.0
2020-06-01,Los Angeles,37,56017,2386,1016.0,24.0
2020-06-02,Los Angeles,37,57222,2448,1205.0,62.0
2020-06-03,Los Angeles,37,58267,2489,1045.0,41.0
2020-06-04,Los Angeles,37,59717,2532,1450.0,43.0
2020-06-05,Los Angeles,37,61074,2567,1357.0,35.0
2020-06-06,Los Angeles,37,62389,2624,1315.0,57.0
2020-06-07,Los Angeles,37,63850,2646,1461.0,22.0
2020-06-08,Los Angeles,37,64699,2656,849.0,10.0
2020-06-09,Los Angeles,37,65957,2710,1258.0,54.0
2020-06-10,Los Angeles,37,67111,2768,1154.0,58.0
2020-06-11,Los Angeles,37,68959,2818,1848.0,50.0
2020-06-12,Los Angeles,37,70534,2834,1575.0,16.0
2020-06-13,Los Angeles,37,72066,2894,1532.0,60.0
2020-06-14,Los Angeles,37,73023,2907,957.0,13.0
2020-06-15,Los Angeles,37,73832,2926,809.0,19.0
2020-06-16,Los Angeles,37,75172,2961,1340.0,35.0
2020-06-17,Los Angeles,37,77285,2993,2113.0,32.0
2020-06-18,Los Angeles,37,78348,3027,1063.0,34.0
