"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2020","102","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","14","38","1","11","102","30"
"01/02/2020","72","PM2.5","Compton","06-037-1302","AQS","15","36","3","17","72","46"
"01/03/2020","87","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","22","33","1","22","87","53"
"01/04/2020","104","PM2.5","Compton","06-037-1302","AQS","35","35","1","40","104","46"
"01/05/2020","103","PM2.5","Compton","06-037-1302","AQS","25","40","0","14","103","43"
"01/06/2020","72","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","20","42","3","18","72","67"
"01/07/2020","49","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","13","32","1","25","45","49"
"01/08/2020","59","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","16","34","0","19","59","42"
"01/09/2020","49","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","13","35","0","17","49","49"
"01/10/2020","66","PM2.5","Compton","06-037-1302","AQS","17","31","1","26","66","46"
"01/11/2020","80","PM2.5","Compton","06-037-1302","AQS","24","33","1","16","80","33"
"01/12/2020","76","PM2.5","Compton","06-037-1302","AQS","15","39","0","17","76","33"
"01/13/2020","80","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","15","41","0","23","80","54"
"01/14/2020","85","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","20","37","6","31","85","50"
"01/15/2020","124","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","22","36","0","39","124","55"
"01/16/2020","91","PM2.5","Pico Rivera #2","06-037-1602","AQS","19","39","0","36","91","40"
"01/17/2020","40","PM2.5","North Hollywood (NOHO)","06-037-4010","AQS","11","38","0","6","40","40"
"01/18/2020","62","PM2.5","Long Beach (South)","06-037-4004","AQS","15","40","0","11","62","46"
"01/19/2020","58","PM2.5","Long Beach (South)","06-037-4004","AQS","14","37","1","16","58","42"
"01/20/2020","69","PM2.5","Compton","06-037-1302","AQS","16","34","0","22","69","37"
"01/21/2020","48","PM2.5","Glendora","06-037-0016","AQS","7","39","0","14","48","39"
"01/22/2020","59","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","14","36","1","24","59","51"
"01/23/2020","58","PM2.5","Long Beach (South)","06-037-4004","AQS","15","36","0","17","58","56"
"01/24/2020","68","PM2.5","Compton","06-037-1302","AQS","24","32","3","16","68","56"
