,Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
0,2019-01-01,67,PM2.5,Los Angeles-North Main Street,06-037-1103,AQS,19,37,3,6,67,37
1,2019-01-02,93,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,23,36,3,15,93,68
2,2019-01-03,67,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,19,33,6,44,67,64
3,2019-01-04,85,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,20,26,4,25,85,61
4,2019-01-05,83,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,23,35,1,17,83,44
5,2019-01-06,52,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,6,39,1,5,52,33
6,2019-01-07,53,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,15,32,1,6,51,53
7,2019-01-08,62,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,18,30,1,11,62,53
8,2019-01-09,74,PM2.5,Compton,06-037-1302,AQS,25,30,4,35,74,48
9,2019-01-10,67,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,18,35,1,19,67,47
10,2019-01-11,91,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,10,28,1,24,91,35
11,2019-01-12,51,PM2.5,Long Beach (North),06-037-4002,AQS,15,33,0,6,51,36
12,2019-01-13,67,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,17,35,3,4,67,45
13,2019-01-14,53,PM2.5,Reseda,06-037-1201,AQS,16,31,0,3,53,43
14,2019-01-15,46,PM2.5,Reseda,06-037-1201,AQS,9,37,0,8,46,42
15,2019-01-16,38,NO2,LAX Hastings,06-037-5005,AQS,5,31,1,3,25,38
16,2019-01-17,44,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,6,31,0,3,27,44
17,2019-01-18,57,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,9,36,1,13,57,43
18,2019-01-19,53,PM2.5,Long Beach (South),06-037-4004,AQS,14,37,0,11,53,38
19,2019-01-20,45,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,16,36,4,6,45,29
