"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2019","67","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","19","37","3","6","67","37"
"01/02/2019","93","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","23","36","3","15","93","68"
"01/03/2019","67","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","19","33","6","44","67","64"
"01/04/2019","85","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","20","26","4","25","85","61"
"01/05/2019","83","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","23","35","1","17","83","44"
"01/06/2019","52","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","6","39","1","5","52","33"
"01/07/2019","53","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","15","32","1","6","51","53"
"01/08/2019","62","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","18","30","1","11","62","53"
"01/09/2019","74","PM2.5","Compton","06-037-1302","AQS","25","30","4","35","74","48"
"01/10/2019","67","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","18","35","1","19","67","47"
"01/11/2019","91","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","10","28","1","24","91","35"
"01/12/2019","51","PM2.5","Long Beach (North)","06-037-4002","AQS","15","33","0","6","51","36"
"01/13/2019","67","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","17","35","3","4","67","45"
"01/14/2019","53","PM2.5","Reseda","06-037-1201","AQS","16","31","0","3","53","43"
"01/15/2019","46","PM2.5","Reseda","06-037-1201","AQS","9","37","0","8","46","42"
"01/16/2019","38","NO2","LAX Hastings","06-037-5005","AQS","5","31","1","3","25","38"
"01/17/2019","44","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","6","31","0","3","27","44"
"01/18/2019","57","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","9","36","1","13","57","43"
"01/19/2019","53","PM2.5","Long Beach (South)","06-037-4004","AQS","14","37","0","11","53","38"
"01/20/2019","45","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","16","36","4","6","45","29"
"01/21/2019","40","Ozone","Azusa","06-037-0002","AQS","5","40","0","34","23","39"
"01/22/2019","71","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","16","39","1","9","51","71"
"01/23/2019","63","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","19","34","1","17","60","63"
"01/24/2019","76","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","17","38","4","13","65","76"
"01/25/2019","62","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","18","41","1","15","55","62"
"01/26/2019","62","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","24","44","14","11","62","57"
"01/27/2019","81","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","33","44","11","40","81","50"
"01/28/2019","106","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","23","30","7","19","106","77"
"01/29/2019","95","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","18","40","3","31","95","67"
"01/30/2019","72","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","11","36","1","31","72","40"
"01/31/2019","66","PM2.5","Glendora","06-037-0016","AQS","9","31","1","22","66","29"
"02/01/2019","40","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","14","32","1","10","40","37"
"02/02/2019","41","Ozone","Lancaster-Division Street","06-037-9033","AQS","6","41","0","12","30","26"
"02/03/2019","41","Ozone","LAX Hastings","06-037-5005","AQS","7","41","0","0","33","25"
"02/04/2019","42","Ozone","LAX Hastings","06-037-5005","AQS","6","42","0","1","24","40"
"02/05/2019","46","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","5","41","0","0","26","46"
"02/06/2019","52","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","7","39","0","3","28","52"
"02/07/2019","56","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","9","37","3","11","56","49"
"02/08/2019","59","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","13","44","3","22","59","56"
"02/09/2019","57","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","10","42","1","6","57","40"
"02/10/2019","42","Ozone","LAX Hastings","06-037-5005","AQS","13","42","3","3","40","30"
"02/11/2019","57","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","11","40","1","8","38","57"
"02/12/2019","54","PM2.5","Reseda","06-037-1201","AQS","16","34","3","16","54","50"
"02/13/2019","43","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","17","36","1","13","43","42"
"02/14/2019","44","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","5","43","0","12","38","44"
"02/15/2019","42","Ozone","LAX Hastings","06-037-5005","AQS","14","42","3","6","39","36"
"02/16/2019","41","Ozone","Reseda","06-037-1201","AQS","5","41","1","4","24","28"
"02/17/2019","44","Ozone","LAX Hastings","06-037-5005","AQS","5","44","1","4","27","22"
"02/18/2019","44","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","6","40","1","2","23","44"
"02/19/2019","54","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","9","44","1","6","41","54"
"02/20/2019","50","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","11","40","1","34","50","40"
