Date,State Name,county Name,State Code,County Code,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
2015-01-01,California,Los Angeles,6,37,156,Unhealthy,PM2.5,06-037-1201,16
2015-01-02,California,Los Angeles,6,37,105,Unhealthy for Sensitive Groups,PM2.5,06-037-1201,14
2015-01-03,California,Los Angeles,6,37,106,Unhealthy for Sensitive Groups,PM2.5,06-037-1201,17
2015-01-04,California,Los Angeles,6,37,107,Unhealthy for Sensitive Groups,PM2.5,06-037-4004,16
2015-01-05,California,Los Angeles,6,37,57,Moderate,PM2.5,06-037-4004,16
2015-01-06,California,Los Angeles,6,37,63,Moderate,PM10,06-037-4006,17
2015-01-07,California,Los Angeles,6,37,59,Moderate,PM2.5,06-037-4004,15
2015-01-08,California,Los Angeles,6,37,77,Moderate,PM2.5,06-037-1103,13
2015-01-09,California,Los Angeles,6,37,105,Unhealthy for Sensitive Groups,PM2.5,06-037-1103,14
2015-01-10,California,Los Angeles,6,37,123,Unhealthy for Sensitive Groups,PM2.5,06-037-1201,16
2015-01-11,California,Los Angeles,6,37,76,Moderate,PM2.5,06-037-1103,16
2015-01-12,California,Los Angeles,6,37,103,Unhealthy for Sensitive Groups,PM2.5,06-037-1103,16
2015-01-13,California,Los Angeles,6,37,114,Unhealthy for Sensitive Groups,PM2.5,06-037-1103,16
2015-01-14,California,Los Angeles,6,37,70,Moderate,PM2.5,06-037-4004,15
2015-01-15,California,Los Angeles,6,37,46,Good,PM2.5,06-037-4004,16
2015-01-16,California,Los Angeles,6,37,54,Moderate,PM2.5,06-037-4004,14
2015-01-17,California,Los Angeles,6,37,80,Moderate,PM2.5,06-037-4004,15
2015-01-18,California,Los Angeles,6,37,105,Unhealthy for Sensitive Groups,PM2.5,06-037-1302,16
2015-01-19,California,Los Angeles,6,37,110,Unhealthy for Sensitive Groups,PM2.5,06-037-1103,15
2015-01-20,California,Los Angeles,6,37,153,Unhealthy,PM2.5,06-037-1103,15
2015-01-21,California,Los Angeles,6,37,159,Unhealthy,PM2.5,06-037-1103,16
2015-01-22,California,Los Angeles,6,37,83,Moderate,PM2.5,06-037-4004,16
2015-01-23,California,Los Angeles,6,37,53,Moderate,PM2.5,06-037-4004,15
2015-01-24,California,Los Angeles,6,37,72,Moderate,PM2.5,06-037-1302,16
2015-01-25,California,Los Angeles,6,37,86,Moderate,NO2,06-037-5005,15
2015-01-26,California,Los Angeles,6,37,50,Good,PM2.5,06-037-1201,14
2015-01-27,California,Los Angeles,6,37,52,Moderate,PM2.5,06-037-4004,15
2015-01-28,California,Los Angeles,6,37,56,Moderate,PM2.5,06-037-4008,16
2015-01-29,California,Los Angeles,6,37,64,Moderate,PM2.5,06-037-4004,16
2015-01-30,California,Los Angeles,6,37,78,Moderate,PM2.5,06-037-1201,17
2015-01-31,California,Los Angeles,6,37,69,Moderate,PM2.5,06-037-1103,15
2015-02-01,California,Los Angeles,6,37,73,Moderate,PM2.5,06-037-4004,16
2015-02-02,California,Los Angeles,6,37,87,Moderate,PM2.5,06-037-4004,17
2015-02-03,California,Los Angeles,6,37,120,Unhealthy for Sensitive Groups,PM2.5,06-037-1103,14
2015-02-04,California,Los Angeles,6,37,156,Unhealthy,PM2.5,06-037-1103,14
2015-02-05,California,Los Angeles,6,37,149,Unhealthy for Sensitive Groups,PM2.5,06-037-1103,16
2015-02-06,California,Los Angeles,6,37,141,Unhealthy for Sensitive Groups,PM2.5,06-037-1103,14
2015-02-07,California,Los Angeles,6,37,98,Moderate,PM2.5,06-037-1103,16
2015-02-08,California,Los Angeles,6,37,72,Moderate,PM2.5,06-037-1201,17
2015-02-09,California,Los Angeles,6,37,48,Good,PM2.5,06-037-0016,16
2015-02-10,California,Los Angeles,6,37,60,Moderate,PM2.5,06-037-4004,16
2015-02-11,California,Los Angeles,6,37,55,Moderate,NO2,06-037-1103,15
2015-02-12,California,Los Angeles,6,37,51,Moderate,NO2,06-037-1103,13
2015-02-13,California,Los Angeles,6,37,56,Moderate,PM2.5,06-037-4008,16
2015-02-14,California,Los Angeles,6,37,58,Moderate,Ozone,06-037-6012,16
2015-02-15,California,Los Angeles,6,37,93,Moderate,Ozone,06-037-1701,16
2015-02-16,California,Los Angeles,6,37,101,Unhealthy for Sensitive Groups,PM2.5,06-037-1103,16
2015-02-17,California,Los Angeles,6,37,110,Unhealthy for Sensitive Groups,PM2.5,06-037-1201,16
2015-02-18,California,Los Angeles,6,37,127,Unhealthy for Sensitive Groups,PM2.5,06-037-1103,15
2015-02-19,California,Los Angeles,6,37,152,Unhealthy,PM2.5,06-037-1103,15
2015-02-20,California,Los Angeles,6,37,130,Unhealthy for Sensitive Groups,PM2.5,06-037-1201,15
2015-02-21,California,Los Angeles,6,37,80,Moderate,PM2.5,06-037-1201,15
2015-02-22,California,Los Angeles,6,37,60,Moderate,PM2.5,06-037-1201,16
2015-02-23,California,Los Angeles,6,37,50,Good,PM2.5,06-037-1201,17
2015-02-24,California,Los Angeles,6,37,43,Good,Ozone,06-037-6012,15
