Date,AQI
2015-01-01,51.0
2015-01-02,56.8
2015-01-03,47.8
2015-01-04,42.2
2015-01-05,40.2
2015-01-06,47.4
2015-01-07,48.4
2015-01-08,41.2
2015-01-09,46.0
2015-01-10,53.8
2015-01-11,55.6
2015-01-12,60.0
2015-01-13,49.6
2015-01-14,57.2
2015-01-15,62.2
2015-01-16,59.8
2015-01-17,39.0
2015-01-18,64.2
2015-01-19,42.2
2015-01-20,41.0
2015-01-21,50.0
2015-01-22,55.0
2015-01-23,59.4
2015-01-24,58.4
2015-01-25,42.6
2015-01-26,45.0
2015-01-27,37.8
2015-01-28,42.2
2015-01-29,44.4
2015-01-30,44.6
2015-01-31,38.6
2015-02-01,57.8
2015-02-02,45.6
2015-02-03,49.0
2015-02-04,60.0
2015-02-05,53.4
2015-02-06,51.8
2015-02-07,64.6
2015-02-08,78.6
2015-02-09,41.4
2015-02-10,36.2
2015-02-11,47.2
2015-02-12,53.4
2015-02-13,43.6
2015-02-14,52.6
2015-02-15,50.2
2015-02-16,40.6
2015-02-17,60.2
2015-02-18,64.4
2015-02-19,45.6
2015-02-20,49.8
2015-02-21,48.8
2015-02-22,68.4
2015-02-23,47.8
2015-02-24,41.0
2015-02-25,58.0
2015-02-26,46.4
2015-02-27,51.0
2015-02-28,46.8
2015-03-01,57.8
2015-03-02,57.0
2015-03-03,36.8
2015-03-04,77.0
2015-03-05,46.4
2015-03-06,43.6
2015-03-07,67.0
2015-03-08,60.2
2015-03-09,59.0
2015-03-10,83.8
2015-03-11,52.2
2015-03-12,29.0
2015-03-13,32.4
2015-03-14,29.6
2015-03-15,27.4
2015-03-16,50.4
2015-03-17,51.2
2015-03-18,27.2
2015-03-19,31.4
2015-03-20,33.2
2015-03-21,51.6
2015-03-22,32.4
2015-03-23,31.6
2015-03-24,41.6
2015-03-25,60.6
2015-03-26,52.8
2015-03-27,24.0
2015-03-28,35.6
2015-03-29,31.6
2015-03-30,32.2
2015-03-31,29.8
2015-04-01,35.6
2015-04-02,54.4
2015-04-03,54.6
2015-04-04,30.8
2015-04-05,37.4
2015-04-06,49.6
2015-04-07,51.2
2015-04-08,29.4
2015-04-09,35.2
