Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID
County,2019-01-01,6.0,CA,6037.0,Los Angeles County,2365053.0,7709577.0,27837706.0,8638986.0,6890475.0,3177404.0,3730800.0,3463369.0,1286744.0,408262.0,150096.0,43515.0,48055.0,06-06037-20190101
County,2019-01-02,6.0,CA,6037.0,Los Angeles County,1916798.0,8157832.0,34953192.0,10204647.0,8713256.0,4118795.0,5056970.0,4790407.0,1483851.0,377632.0,127165.0,41346.0,39123.0,06-06037-20190102
County,2019-01-03,6.0,CA,6037.0,Los Angeles County,1939199.0,8135431.0,35308770.0,10242324.0,8628446.0,4156116.0,5265467.0,4918977.0,1505304.0,384372.0,130608.0,39314.0,37842.0,06-06037-20190103
County,2019-01-04,6.0,CA,6037.0,Los Angeles County,1899517.0,8175113.0,35354896.0,9961960.0,8718755.0,4247070.0,5369022.0,4944403.0,1493297.0,400765.0,142891.0,40254.0,36479.0,06-06037-20190104
County,2019-01-05,6.0,CA,6037.0,Los Angeles County,1996844.0,8077786.0,35121500.0,10058558.0,8976550.0,4273998.0,5168011.0,4551821.0,1440573.0,428827.0,149329.0,39217.0,34616.0,06-06037-20190105
County,2019-01-06,6.0,CA,6037.0,Los Angeles County,2065473.0,8009157.0,32804491.0,9435961.0,8607314.0,3999193.0,4739217.0,4087308.0,1302363.0,415323.0,143863.0,38868.0,35081.0,06-06037-20190106
County,2019-01-07,6.0,CA,6037.0,Los Angeles County,1963158.0,8111472.0,34256148.0,10220180.0,8499634.0,4026194.0,5007188.0,4570855.0,1411613.0,350694.0,105813.0,30950.0,33027.0,06-06037-20190107
County,2019-01-08,6.0,CA,6037.0,Los Angeles County,1952201.0,8122429.0,34685573.0,10278876.0,8588872.0,4083617.0,5092146.0,4722553.0,1415161.0,336669.0,101434.0,32280.0,33965.0,06-06037-20190108
County,2019-01-09,6.0,CA,6037.0,Los Angeles County,1936278.0,8138352.0,34528728.0,10057175.0,8619415.0,4088509.0,5149068.0,4672582.0,1442926.0,335313.0,98799.0,30261.0,34680.0,06-06037-20190109
County,2019-01-10,6.0,CA,6037.0,Los Angeles County,1903170.0,8171460.0,35319749.0,10299763.0,8725672.0,4179102.0,5312010.0,4834810.0,1455602.0,347605.0,100973.0,30351.0,33861.0,06-06037-20190110
County,2019-01-11,6.0,CA,6037.0,Los Angeles County,1874996.0,8199634.0,35898122.0,10213731.0,8939921.0,4320268.0,5435049.0,4944521.0,1499930.0,360685.0,117226.0,32540.0,34251.0,06-06037-20190111
County,2019-01-12,6.0,CA,6037.0,Los Angeles County,1982597.0,8092033.0,36086631.0,10435482.0,9197079.0,4348735.0,5319009.0,4704884.0,1478229.0,408591.0,130958.0,31713.0,31951.0,06-06037-20190112
County,2019-01-13,6.0,CA,6037.0,Los Angeles County,2031124.0,8043506.0,33908066.0,9971150.0,8872165.0,4114846.0,4843056.0,4196873.0,1334592.0,381559.0,126627.0,34987.0,32211.0,06-06037-20190113
County,2019-01-14,6.0,CA,6037.0,Los Angeles County,1960442.0,8114188.0,34053698.0,10234733.0,8572637.0,4029011.0,4867012.0,4452358.0,1408255.0,319219.0,101554.0,34866.0,34053.0,06-06037-20190114
County,2019-01-15,6.0,CA,6037.0,Los Angeles County,1952976.0,8121654.0,34041592.0,10199811.0,8554719.0,4003866.0,4896559.0,4519852.0,1391884.0,310638.0,94332.0,36361.0,33570.0,06-06037-20190115
County,2019-01-16,6.0,CA,6037.0,Los Angeles County,1934920.0,8139710.0,34118625.0,9905981.0,8705084.0,4071344.0,5005289.0,4514200.0,1406030.0,333580.0,105303.0,37607.0,34207.0,06-06037-20190116
County,2019-01-17,6.0,CA,6037.0,Los Angeles County,1959611.0,8115019.0,35737900.0,10629953.0,8977122.0,4231788.0,5173857.0,4691273.0,1481050.0,357823.0,116171.0,41979.0,36884.0,06-06037-20190117
County,2019-01-18,6.0,CA,6037.0,Los Angeles County,1935475.0,8139155.0,35330884.0,9422756.0,9046071.0,4355282.0,5391650.0,5007564.0,1529362.0,370235.0,122571.0,44716.0,40677.0,06-06037-20190118
County,2019-01-19,6.0,CA,6037.0,Los Angeles County,1974714.0,8099916.0,37145967.0,10171739.0,9413815.0,4504951.0,5592745.0,5142000.0,1644726.0,434616.0,154066.0,47736.0,39573.0,06-06037-20190119
County,2019-01-20,6.0,CA,6037.0,Los Angeles County,2000916.0,8073714.0,34410662.0,9864105.0,8798633.0,4117446.0,4983267.0,4521247.0,1472914.0,416508.0,151287.0,46042.0,39213.0,06-06037-20190120
County,2019-01-21,6.0,CA,6037.0,Los Angeles County,1965081.0,8109549.0,34052713.0,9421722.0,8736066.0,4096502.0,4996592.0,4641770.0,1558041.0,382322.0,134093.0,45816.0,39789.0,06-06037-20190121
County,2019-01-22,6.0,CA,6037.0,Los Angeles County,1904283.0,8170347.0,35874949.0,10000797.0,9186054.0,4255198.0,5305819.0,4986297.0,1619435.0,330653.0,109260.0,41866.0,39570.0,06-06037-20190122
County,2019-01-23,6.0,CA,6037.0,Los Angeles County,1895565.0,8179065.0,34573742.0,9445136.0,8551918.0,4171270.0,5263888.0,5012703.0,1576397.0,333540.0,132447.0,45626.0,40817.0,06-06037-20190123
County,2019-01-24,6.0,CA,6037.0,Los Angeles County,1900468.0,8174162.0,35246130.0,9762276.0,8621879.0,4219361.0,5398325.0,5093931.0,1584843.0,341845.0,134665.0,46788.0,42217.0,06-06037-20190124
County,2019-01-25,6.0,CA,6037.0,Los Angeles County,1881138.0,8193492.0,35311375.0,9536980.0,8718601.0,4293993.0,5439126.0,5112271.0,1593999.0,376396.0,149570.0,47869.0,42570.0,06-06037-20190125
County,2019-01-26,6.0,CA,6037.0,Los Angeles County,1979893.0,8094737.0,36023546.0,9890977.0,9061228.0,4405798.0,5417891.0,4964683.0,1614539.0,423977.0,157806.0,47484.0,39163.0,06-06037-20190126
County,2019-01-27,6.0,CA,6037.0,Los Angeles County,2058049.0,8016581.0,34766396.0,9651098.0,9098823.0,4234334.0,5049185.0,4580139.0,1498742.0,409904.0,159355.0,46852.0,37964.0,06-06037-20190127
County,2019-01-28,6.0,CA,6037.0,Los Angeles County,1935681.0,8138949.0,34733141.0,9939002.0,8607900.0,4107208.0,5127285.0,4879540.0,1536983.0,334855.0,122235.0,41122.0,37011.0,06-06037-20190128
County,2019-01-29,6.0,CA,6037.0,Los Angeles County,1937671.0,8136959.0,34678781.0,9777996.0,8615523.0,4128158.0,5198631.0,4893608.0,1534500.0,329447.0,123788.0,41923.0,35207.0,06-06037-20190129
County,2019-01-30,6.0,CA,6037.0,Los Angeles County,1922041.0,8152589.0,34327883.0,9561844.0,8507859.0,4140241.0,5136656.0,4932756.0,1523533.0,326680.0,120593.0,41796.0,35925.0,06-06037-20190130
County,2019-01-31,6.0,CA,6037.0,Los Angeles County,1901667.0,8172963.0,34576722.0,9903512.0,8598395.0,4053818.0,5103085.0,4927275.0,1482565.0,322139.0,109804.0,39212.0,36917.0,06-06037-20190131
County,2019-02-01,6.0,CA,6037.0,Los Angeles County,1898377.0,8176253.0,36026910.0,10347926.0,9062597.0,4277701.0,5308656.0,5019181.0,1474557.0,338514.0,119934.0,41757.0,36087.0,06-06037-20190201
County,2019-02-02,6.0,CA,6037.0,Los Angeles County,2056670.0,8017960.0,34743071.0,10194736.0,9199150.0,4205788.0,4882145.0,4362289.0,1342658.0,353479.0,126591.0,41635.0,34600.0,06-06037-20190202
County,2019-02-03,6.0,CA,6037.0,Los Angeles County,2096289.0,7978341.0,32045912.0,9179645.0,8635770.0,3901718.0,4494103.0,4004600.0,1272016.0,351662.0,129076.0,42870.0,34452.0,06-06037-20190203
County,2019-02-04,6.0,CA,6037.0,Los Angeles County,1949676.0,8124954.0,34088841.0,9851038.0,8594319.0,4037796.0,4899116.0,4693161.0,1481337.0,336834.0,116128.0,42618.0,36494.0,06-06037-20190204
County,2019-02-05,6.0,CA,6037.0,Los Angeles County,1963247.0,8111383.0,33903540.0,9613958.0,8446305.0,4007561.0,5038391.0,4805437.0,1475215.0,333246.0,109064.0,39854.0,34509.0,06-06037-20190205
County,2019-02-06,6.0,CA,6037.0,Los Angeles County,1906764.0,8167866.0,34739943.0,9601358.0,8559811.0,4160967.0,5241356.0,5026318.0,1587830.0,353303.0,122950.0,47055.0,38995.0,06-06037-20190206
County,2019-02-07,6.0,CA,6037.0,Los Angeles County,1866806.0,8207824.0,35268456.0,9591936.0,8573752.0,4238437.0,5353205.0,5212318.0,1688127.0,384600.0,133241.0,50814.0,42026.0,06-06037-20190207
County,2019-02-08,6.0,CA,6037.0,Los Angeles County,1864064.0,8210566.0,35129009.0,9441568.0,8664742.0,4229479.0,5370908.0,5143925.0,1632014.0,398538.0,152440.0,53841.0,41554.0,06-06037-20190208
County,2019-02-09,6.0,CA,6037.0,Los Angeles County,1946080.0,8128550.0,35338806.0,9916714.0,8787696.0,4272796.0,5200017.0,4854770.0,1605674.0,447890.0,164843.0,50462.0,37944.0,06-06037-20190209
County,2019-02-10,6.0,CA,6037.0,Los Angeles County,2044865.0,8029765.0,32336851.0,8915945.0,8362912.0,3964390.0,4665886.0,4284608.0,1439411.0,436779.0,170862.0,54240.0,41818.0,06-06037-20190210
County,2019-02-11,6.0,CA,6037.0,Los Angeles County,1915672.0,8158958.0,34265060.0,9464059.0,8393743.0,4125294.0,5102209.0,4949189.0,1606401.0,380404.0,145874.0,54612.0,43275.0,06-06037-20190211
County,2019-02-12,6.0,CA,6037.0,Los Angeles County,1888843.0,8185787.0,34627773.0,9626846.0,8401745.0,4144595.0,5188682.0,5052871.0,1611795.0,372272.0,133878.0,52342.0,42747.0,06-06037-20190212
County,2019-02-13,6.0,CA,6037.0,Los Angeles County,1892581.0,8182049.0,34436959.0,9680315.0,8411614.0,4076705.0,5069385.0,4988250.0,1584278.0,373270.0,156769.0,53505.0,42868.0,06-06037-20190213
County,2019-02-14,6.0,CA,6037.0,Los Angeles County,1875502.0,8199128.0,34356234.0,9619257.0,8456168.0,4102308.0,5105404.0,4893993.0,1545193.0,369769.0,163958.0,55493.0,44691.0,06-06037-20190214
County,2019-02-15,6.0,CA,6037.0,Los Angeles County,1856593.0,8218037.0,34597650.0,9446583.0,8356576.0,4158088.0,5221045.0,5072310.0,1640160.0,410374.0,190018.0,57195.0,45301.0,06-06037-20190215
County,2019-02-16,6.0,CA,6037.0,Los Angeles County,1925513.0,8149117.0,35209637.0,9881463.0,8658539.0,4243293.0,5169013.0,4867907.0,1626266.0,457026.0,205305.0,58503.0,42322.0,06-06037-20190216
County,2019-02-17,6.0,CA,6037.0,Los Angeles County,2107524.0,7967106.0,30614294.0,8393132.0,7759314.0,3739222.0,4573247.0,4151820.0,1337515.0,399339.0,177880.0,46107.0,36718.0,06-06037-20190217
County,2019-02-18,6.0,CA,6037.0,Los Angeles County,2065488.0,8009142.0,31709856.0,8725830.0,7876666.0,3804471.0,4725240.0,4498972.0,1445637.0,380547.0,165838.0,47458.0,39197.0,06-06037-20190218
County,2019-02-19,6.0,CA,6037.0,Los Angeles County,1991784.0,8082846.0,33602128.0,9476131.0,8227868.0,3966712.0,5132578.0,4790865.0,1457165.0,331303.0,134804.0,46804.0,37898.0,06-06037-20190219
County,2019-02-20,6.0,CA,6037.0,Los Angeles County,1973611.0,8101019.0,33990391.0,9333625.0,8136849.0,4044297.0,5260902.0,5059595.0,1578546.0,347278.0,138748.0,51355.0,39196.0,06-06037-20190220
County,2019-02-21,6.0,CA,6037.0,Los Angeles County,1994114.0,8080516.0,34054525.0,9402660.0,8286129.0,4023457.0,5219038.0,5016631.0,1530162.0,350015.0,134337.0,51383.0,40713.0,06-06037-20190221
County,2019-02-22,6.0,CA,6037.0,Los Angeles County,1957173.0,8117457.0,34655195.0,9180381.0,8733589.0,4248055.0,5414173.0,4994871.0,1467231.0,368001.0,148377.0,58273.0,42244.0,06-06037-20190222
